movie_id,title,genres,year,director,avg_rating,n_ratings,poster_color,overview
1,Dark Signal,Comedy,1983,Bergman,2.7,1566,#4a1942,"A comedy film directed by Bergman, released in 1983. An intimate portrait of human connection."
2,Silent Dark Dream,Comedy,2007,Lynch,2.6,457,#4a1942,"A comedy film directed by Lynch, released in 2007. An explosive action-adventure with heart."
3,The Burning Legacy,Thriller|Action,2023,Hitchcock,2.9,915,#3d405b,"A thriller film directed by Hitchcock, released in 2023. A sweeping epic that spans decades."
4,The Broken River,Adventure,1999,Spielberg,3.3,754,#1f2041,"A adventure film directed by Spielberg, released in 1999. A sweeping epic that spans decades."
5,Burning Vessel,Drama,1980,Coppola,3.2,1337,#1f2041,"A drama film directed by Coppola, released in 1980. A quiet, devastating character study."
6,The Last Horizon,Comedy|Thriller|Crime,1980,Chaplin,3.0,256,#f4a261,"A comedy film directed by Chaplin, released in 1980. A sweeping epic that spans decades."
7,Sacred Eternal Crown,Comedy|Romance,1992,Bergman,4.7,1377,#0f3460,"A comedy film directed by Bergman, released in 1992. A visually stunning journey into the unknown."
8,The Eternal Labyrinth,Crime|Romance,2019,Coppola,3.0,714,#16213e,"A crime film directed by Coppola, released in 2019. A sharp and darkly comic thriller."
9,Hollow Machine,Adventure|Comedy,2011,Lean,4.2,485,#1b4332,"A adventure film directed by Lean, released in 2011. An explosive action-adventure with heart."
10,Hidden Crimson Storm,Sci-Fi,2010,Coppola,3.1,1247,#e76f51,"A sci-fi film directed by Coppola, released in 2010. An explosive action-adventure with heart."
11,Mirror of Storm,Fantasy|Adventure|Action,1982,Tarantino,3.9,1672,#e76f51,"A fantasy film directed by Tarantino, released in 1982. An intimate portrait of human connection."
12,Electric Wild Labyrinth,Crime|Horror|Action,2018,Bergman,2.8,1862,#4a1942,"A crime film directed by Bergman, released in 2018. A sweeping epic that spans decades."
13,Echo of Shadow,Animation|Fantasy,1975,Bergman,4.5,589,#6d2b3d,"A animation film directed by Bergman, released in 1975. A visually stunning journey into the unknown."
14,Forgotten Star,Comedy|Animation|Documentary,2023,Tarantino,3.7,1644,#6d2b3d,"A comedy film directed by Tarantino, released in 2023. A gripping tale of survival and redemption."
15,Hour of City,Documentary,1994,Scorsese,2.6,1848,#7b2d8b,"A documentary film directed by Scorsese, released in 1994. An intimate portrait of human connection."
16,Distant Dream,Thriller|Animation|Western,2017,Anderson,4.7,388,#4a4e69,"A thriller film directed by Anderson, released in 2017. An explosive action-adventure with heart."
17,The Ancient Kingdom,Crime|Drama|Romance,2016,Fincher,3.5,1109,#023e8a,"A crime film directed by Fincher, released in 2016. An intimate portrait of human connection."
18,The Golden Dream,Action|Mystery,2010,Scorsese,3.9,64,#0f3460,"A action film directed by Scorsese, released in 2010. A gripping tale of survival and redemption."
19,Dream of Star,Crime,2017,Anderson,3.0,320,#7b2d8b,"A crime film directed by Anderson, released in 2017. A mystery that keeps you guessing."
20,The Distant Garden,Adventure,1981,Kurosawa,3.5,917,#e76f51,"A adventure film directed by Kurosawa, released in 1981. A mystery that keeps you guessing."
21,Lost Horizon,Sci-Fi|Documentary,1981,Scorsese,2.9,1148,#023e8a,"A sci-fi film directed by Scorsese, released in 1981. A visually stunning journey into the unknown."
22,Eternal Crimson Labyrinth,Western,1979,Anderson,4.4,1803,#4a1942,"A western film directed by Anderson, released in 1979. An intimate portrait of human connection."
23,Ancient City,Thriller,1990,Tarantino,3.4,1035,#264653,"A thriller film directed by Tarantino, released in 1990. An explosive action-adventure with heart."
24,Eternal Machine,Drama,1991,Lean,4.3,981,#22223b,"A drama film directed by Lean, released in 1991. An explosive action-adventure with heart."
25,Hidden Broken Shadow,Action,2012,Bergman,3.7,1581,#3d405b,"A action film directed by Bergman, released in 2012. A gripping tale of survival and redemption."
26,Twisted Hour,Western|Horror|Animation,1978,Coppola,2.7,430,#0f3460,"A western film directed by Coppola, released in 1978. An intimate portrait of human connection."
27,The Electric Echo,Comedy|Mystery|Thriller,1977,Lynch,2.7,1396,#7b2d8b,"A comedy film directed by Lynch, released in 1977. A quiet, devastating character study."
28,Kingdom of River,Crime,2000,Tarantino,4.0,664,#023e8a,"A crime film directed by Tarantino, released in 2000. A quiet, devastating character study."
29,Dark Labyrinth,Mystery|Adventure|Thriller,2009,Scorsese,3.7,321,#81b29a,"A mystery film directed by Scorsese, released in 2009. An intimate portrait of human connection."
30,The Sacred Shadow,Fantasy,2009,Bergman,3.2,1702,#6d2b3d,"A fantasy film directed by Bergman, released in 2009. A gripping tale of survival and redemption."
31,Echo of Storm,Adventure|Western,2022,Coppola,2.9,627,#1f2041,"A adventure film directed by Coppola, released in 2022. A sharp and darkly comic thriller."
32,Kingdom of Signal,Fantasy|Crime|Action,1980,Kurosawa,3.5,616,#16213e,"A fantasy film directed by Kurosawa, released in 1980. A gripping tale of survival and redemption."
33,Storm of Signal,Sci-Fi,2003,Coppola,4.1,1198,#1a1a2e,"A sci-fi film directed by Coppola, released in 2003. An intimate portrait of human connection."
